"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 13:47:05 GMT 2023","Thu Jun 01 13:47:09 GMT 2023","3603","IDP Project Tests","Smoke Tests","tests.Search.VerifySelectionOfAutocompleteSuggestion","tests.Search.VerifySelectionOfAutocompleteSuggestion","verifySelectionOfAutocompleteSuggestion","verifySelectionOfAutocompleteSuggestion","Verify selection of autocomplete suggestion"
"failed","Thu Jun 01 13:53:22 GMT 2023","Thu Jun 01 13:53:37 GMT 2023","15116","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductTitle","tests.Ordering.Cart.VerifyAddedToCartProductTitle","verifySelectedProductTitle","verifySelectedProductTitle","Verify added to cart product title"
"unknown","Thu Jun 01 13:43:26 GMT 2023","Thu Jun 01 13:43:26 GMT 2023","1","IDP Project Tests","Smoke Tests","tests.Authentication.VerifyIncorrectPasswordSignIn","tests.Authentication.VerifyIncorrectPasswordSignIn","verifyIncorrectPasswordSignIn","verifyIncorrectPasswordSignIn","Sign in with incorrect password"
"failed","Thu Jun 01 13:57:08 GMT 2023","Thu Jun 01 13:57:22 GMT 2023","13558","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutSubtotalPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutSubtotalPrice","verifyCartFlyoutSubtotalPrice","verifyCartFlyoutSubtotalPrice","Verify cart flyout subtotal price"
"failed","Thu Jun 01 13:50:01 GMT 2023","Thu Jun 01 13:50:10 GMT 2023","9073","IDP Project Tests","Smoke Tests","tests.Search.VerifyUpdatingSearchDropdownByFilter","tests.Search.VerifyUpdatingSearchDropdownByFilter","VerifyUpdatingSearchDropdownByFilter","VerifyUpdatingSearchDropdownByFilter","Verify updating search dropdown by filter"
"failed","Thu Jun 01 13:54:11 GMT 2023","Thu Jun 01 13:54:24 GMT 2023","13567","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","Verify cart flyout product price"
"failed","Thu Jun 01 13:49:12 GMT 2023","Thu Jun 01 13:49:26 GMT 2023","13403","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","verifyProductSubtotalPrice","verifyProductSubtotalPrice","Verify product subtotal price"
"passed","Thu Jun 01 13:50:12 GMT 2023","Thu Jun 01 13:50:13 GMT 2023","870","IDP Project Tests","Smoke Tests","tests.Authentication.VerifyEmptyEmailSignIn","tests.Authentication.VerifyEmptyEmailSignIn","verifyEmptyEmailSignIn","verifyEmptyEmailSignIn","Sign in with incorrect email"
"failed","Thu Jun 01 13:47:47 GMT 2023","Thu Jun 01 13:48:01 GMT 2023","13312","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyProceedToCheckoutButtonRedirectsToCheckoutPage","tests.Ordering.Cart.VerifyProceedToCheckoutButtonRedirectsToCheckoutPage","verifyProceedToCheckoutButtonRedirectsToCheckoutPage","verifyProceedToCheckoutButtonRedirectsToCheckoutPage","Verify Proceed to Checkout button redirects to Checkout page"
"passed","Thu Jun 01 13:49:28 GMT 2023","Thu Jun 01 13:49:36 GMT 2023","8492","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductTitle","tests.Ordering.Order_Details.VerifySelectedProductTitle","verifySelectedProductTitle","verifySelectedProductTitle","Verify selected product title"
"passed","Wed Apr 19 13:58:09 GMT 2023","Wed Apr 19 13:58:13 GMT 2023","4027","Surefire suite","Surefire test","tests.TC01_Test","tests.TC01_Test","openUrl","openUrl",""
"failed","Thu Jun 01 13:52:22 GMT 2023","Thu Jun 01 13:52:36 GMT 2023","14187","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductImageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductImageIsDisplayed","verifyProductSubtotalPrice","verifyProductSubtotalPrice","Verify product subtotal price"
"failed","Thu Jun 01 13:50:46 GMT 2023","Thu Jun 01 13:51:00 GMT 2023","14027","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductPrice","tests.Ordering.Cart.VerifyAddedToCartProductPrice","verifySelectedProductTitle","verifySelectedProductTitle","Verify added to cart product price"
"failed","Thu Jun 01 13:58:31 GMT 2023","Thu Jun 01 13:58:40 GMT 2023","8796","IDP Project Tests","Smoke Tests","tests.Authentication.VerifySignOut","tests.Authentication.VerifySignOut","verifySignOut","verifySignOut","User sign out"
"passed","Thu Jun 01 13:52:38 GMT 2023","Thu Jun 01 13:52:46 GMT 2023","7721","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductPrice","tests.Ordering.Order_Details.VerifySelectedProductPrice","verifySelectedProductPrice","verifySelectedProductPrice","Verify selected product price"
